iteration,query,time(s)
1,1,2.391686 
1,2,0.083778 
1,3,0.598944 
1,4,0.144050 
1,5,0.646066 
1,6,0.343897 
1,7,0.997454 
1,8,1.632298 
1,9,3.788506 
1,10,0.449132 
1,11,0.191255 
1,12,0.375288 
1,13,3.148503 
1,14,0.425218 
1,15,0.812122 
1,16,0.116935 
1,17,381.931169 
1,18,0.423943 
1,19,0.497733 
1,20,601.351186 
1,21,2.240868 
1,22,99.915201 
2,1,2.442794 
2,2,0.087346 
2,3,0.636717 
2,4,0.156262 
2,5,0.699096 
2,6,0.361432 
2,7,1.078567 
2,8,1.826186 
2,9,4.182783 
2,10,0.478328 
2,11,0.198495 
2,12,0.404619 
2,13,3.403359 
2,14,0.457299 
2,15,0.857675 
2,16,0.119608 
2,17,417.088285 
2,18,0.446413 
2,19,0.531932 
2,20,602.969140 
2,21,2.224313 
2,22,99.807672 
3,1,2.426877 
3,2,0.087083 
3,3,0.648018 
3,4,0.161508 
3,5,0.710166 
3,6,0.364111 
3,7,1.081869 
3,8,1.825389 
3,9,4.173905 
3,10,0.481970 
3,11,0.196446 
3,12,0.394218 
3,13,3.340154 
3,14,0.449955 
3,15,0.847632 
3,16,0.119145 
3,17,419.471062 
3,18,0.446926 
3,19,0.533187 
3,20,604.256586 
3,21,2.255159 
3,22,101.746887 
4,1,2.605162 
4,2,0.088653 
4,3,0.646184 
4,4,0.159712 
4,5,0.707701 
4,6,0.367402 
4,7,1.087122 
4,8,1.846526 
4,9,4.223326 
4,10,0.484388 
4,11,0.197531 
4,12,0.398200 
4,13,3.471904 
4,14,0.560961 
4,15,0.926674 
4,16,0.118428 
4,17,410.991276 
4,18,0.442467 
4,19,0.527661 
4,20,595.539896 
4,21,2.230462 
4,22,99.657790 
5,1,2.436158 
5,2,0.087872 
5,3,0.640390 
5,4,0.154832 
5,5,0.708254 
5,6,0.365589 
5,7,1.080537 
5,8,1.831815 
5,9,4.183209 
5,10,0.480745 
5,11,0.196251 
5,12,0.393039 
5,13,3.345033 
5,14,0.448792 
5,15,0.847741 
5,16,0.118750 
5,17,412.540234 
5,18,0.447359 
5,19,0.534409 
5,20,603.606189 
5,21,2.226064 
5,22,101.355312 
6,1,2.433972 
6,2,0.088367 
6,3,0.637107 
6,4,0.156594 
6,5,0.704843 
6,6,0.367050 
6,7,1.083256 
6,8,1.832435 
6,9,4.182360 
6,10,0.483650 
6,11,0.197796 
6,12,0.399010 
6,13,3.347252 
6,14,0.454625 
6,15,0.855824 
6,16,0.118291 
6,17,415.378461 
6,18,0.448442 
6,19,0.533376 
6,20,604.241582 
6,21,2.322061 
6,22,102.053737 
7,1,2.467293 
7,2,0.089464 
7,3,0.660932 
7,4,0.159104 
7,5,0.731336 
7,6,0.379282 
7,7,1.119043 
7,8,1.905927 
7,9,4.426821 
7,10,0.500334 
7,11,0.205602 
7,12,0.410327 
7,13,3.496042 
7,14,0.467071 
7,15,0.885900 
7,16,0.123544 
7,17,428.161055 
7,18,0.445555 
7,19,0.533129 
7,20,609.497173 
7,21,2.285363 
7,22,100.928978 
8,1,2.427786 
8,2,0.088231 
8,3,0.637137 
8,4,0.156447 
8,5,0.705517 
8,6,0.363837 
8,7,1.087156 
8,8,1.845181 
8,9,4.232850 
8,10,0.482347 
8,11,0.197502 
8,12,0.397912 
8,13,3.373160 
8,14,0.453205 
8,15,0.855179 
8,16,0.119186 
8,17,416.119099 
8,18,0.448835 
8,19,0.535281 
8,20,611.107509 
8,21,2.230525 
8,22,102.088054 
9,1,2.440760 
9,2,0.087661 
9,3,0.643548 
9,4,0.157594 
9,5,0.721041 
9,6,0.364632 
9,7,1.101283 
9,8,1.884494 
9,9,4.413669 
9,10,0.489998 
9,11,0.199246 
9,12,0.399891 
9,13,3.388393 
9,14,0.457089 
9,15,0.860995 
9,16,0.118821 
9,17,416.058913 
9,18,0.442926 
9,19,0.529250 
9,20,615.207438 
9,21,2.224433 
9,22,102.033924 
10,1,2.440584 
10,2,0.088452 
10,3,0.642828 
10,4,0.157655 
10,5,0.712061 
10,6,0.369626 
10,7,1.094062 
10,8,1.864540 
10,9,4.271624 
10,10,0.487002 
10,11,0.196726 
