iteration,query,time(s)
1,1,3.024138 
1,2,0.116704 
1,3,0.703502 
1,4,0.171002 
1,5,0.725333 
1,6,0.378402 
1,7,1.147593 
1,8,1.905941 
1,9,4.586812 
1,10,0.535849 
1,11,0.224322 
1,12,0.451272 
1,13,3.971978 
1,14,0.483434 
1,15,0.910453 
1,16,0.140822 
1,17,393.639232 
1,18,0.395406 
1,19,0.527058 
1,20,577.944506 
1,21,2.441846 
1,22,97.521786 
2,1,2.909138 
2,2,0.089897 
2,3,0.646124 
2,4,0.170621 
2,5,0.724766 
2,6,0.379286 
2,7,1.146180 
2,8,1.905495 
2,9,4.588644 
2,10,0.537073 
2,11,0.223376 
2,12,0.451250 
2,13,3.962837 
2,14,0.483315 
2,15,0.919885 
2,16,0.141514 
2,17,393.541778 
2,18,0.395551 
2,19,0.526955 
2,20,580.322243 
2,21,2.303664 
2,22,100.208576 
3,1,2.744365 
3,2,0.087452 
3,3,0.624459 
3,4,0.169028 
3,5,0.694612 
3,6,0.370037 
3,7,1.074491 
3,8,1.815490 
3,9,4.276479 
3,10,0.522645 
3,11,0.212793 
3,12,0.440518 
3,13,3.574099 
3,14,0.468087 
3,15,0.883344 
3,16,0.133150 
3,17,400.376100 
3,18,0.387743 
3,19,0.510427 
3,20,588.004840 
3,21,2.299059 
3,22,95.965399 
4,1,2.737107 
4,2,0.087423 
4,3,0.622583 
4,4,0.168625 
4,5,0.697097 
4,6,0.371523 
4,7,1.077701 
4,8,1.815608 
4,9,4.273592 
4,10,0.520854 
4,11,0.212790 
4,12,0.439173 
4,13,3.548859 
4,14,0.465615 
4,15,0.883113 
4,16,0.132780 
4,17,399.602772 
4,18,0.390468 
4,19,0.507404 
4,20,583.320447 
4,21,2.290555 
4,22,96.088711 
5,1,2.743387 
5,2,0.088487 
5,3,0.627247 
5,4,0.169512 
5,5,0.702480 
5,6,0.373220 
5,7,1.086871 
5,8,1.802169 
5,9,4.299971 
5,10,0.521432 
5,11,0.212337 
5,12,0.446259 
5,13,3.577221 
5,14,0.469102 
5,15,0.887113 
5,16,0.132500 
5,17,398.869905 
5,18,0.386605 
5,19,0.512842 
5,20,592.426672 
5,21,2.472041 
5,22,102.442299 
6,1,2.964826 
6,2,0.094823 
6,3,0.667677 
6,4,0.180742 
6,5,0.755857 
6,6,0.401674 
6,7,1.182790 
6,8,1.934204 
6,9,4.536613 
6,10,0.538915 
6,11,0.221699 
6,12,0.459271 
6,13,3.718792 
6,14,0.487261 
6,15,0.899512 
6,16,0.138268 
6,17,414.885979 
