iteration,query,time(s)
1,1,2.912364
1,2,0.162397
1,3,0.903199
1,4,0.195888
1,5,0.872187
1,6,0.431211
1,7,1.354731
1,8,2.865812
1,9,7.154967
1,10,0.578897
1,11,0.220851
1,12,0.471139
1,13,2.991271
1,14,0.553363
1,15,0.980033
1,16,0.124965
1,17,537.357360
1,18,0.525192
1,19,0.649380
1,20,784.753749
1,21,2.346226
1,22,133.171484
2,1,2.477226
2,2,0.107131
2,3,0.761429
2,4,0.202415
2,5,0.889885
2,6,0.436489
2,7,1.380810
2,8,2.943755
2,9,7.379323
2,10,0.590877
2,11,0.223336
2,12,0.477239
2,13,3.091308
2,14,0.559851
2,15,0.991249
2,16,0.125113
2,17,541.799133
2,18,0.524530
2,19,0.648310
2,20,781.717391
2,21,2.351690
2,22,133.573630
3,1,2.497152
3,2,0.108860
3,3,0.763114
3,4,0.201815
3,5,0.889413
3,6,0.438213
3,7,1.387325
3,8,2.941939
3,9,7.433153
3,10,0.585979
3,11,0.224024
3,12,0.479680
3,13,3.098773
3,14,0.561660
3,15,0.992278
3,16,0.126354
3,17,543.047974
3,18,0.529129
3,19,0.649705
3,20,782.508864
3,21,2.367904
3,22,133.172241
4,1,2.488064
4,2,0.107557
4,3,0.760370
4,4,0.199867
4,5,0.892166
4,6,0.437022
4,7,1.385655
4,8,2.953959
4,9,7.471671
4,10,0.593298
4,11,0.222243
4,12,0.476276
4,13,3.093435
4,14,0.564478
4,15,0.994919
4,16,0.126890
4,17,545.369005
4,18,0.525282
4,19,0.652565
4,20,782.582063
4,21,2.356012
4,22,133.221754
5,1,2.480489
5,2,0.108999
5,3,0.778726
5,4,0.201948
5,5,0.894401
5,6,0.438868
5,7,1.386167
5,8,2.967468
5,9,7.499923
5,10,0.591889
5,11,0.225265
5,12,0.482614
5,13,3.109540
5,14,0.564221
5,15,0.991006
5,16,0.126875
5,17,540.814423
5,18,0.524668
5,19,0.649156
5,20,778.163910
5,21,2.351412
5,22,132.298100
6,1,2.485168
6,2,0.110588
6,3,0.760706
6,4,0.201015
6,5,0.889857
6,6,0.442249
6,7,1.393225
6,8,2.945619
6,9,7.463905
6,10,0.589245
6,11,0.225823
6,12,0.479096
6,13,3.101278
6,14,0.562726
6,15,0.995401
6,16,0.127153
6,17,542.846329
6,18,0.524826
6,19,0.668434
6,20,792.307773
6,21,2.346044
6,22,132.869944
7,1,2.487993
7,2,0.107587
7,3,0.760530
7,4,0.200406
7,5,0.887359
7,6,0.436475
7,7,1.383223
7,8,2.927377
7,9,7.415159
7,10,0.587349
7,11,0.224430
7,12,0.477373
7,13,3.111206
7,14,0.562676
7,15,0.989566
7,16,0.126354
7,17,542.750785
7,18,0.527129
7,19,0.651443
7,20,790.639580
7,21,2.346637
7,22,133.877047
8,1,2.499607
8,2,0.108262
8,3,0.767619
8,4,0.201211
8,5,0.901688
8,6,0.455299
8,7,1.403412
8,8,2.949154
8,9,7.425865
8,10,0.607124
8,11,0.238390
8,12,0.494221
8,13,3.116280
8,14,0.563982
8,15,0.989969
8,16,0.129204
8,17,545.344008
8,18,0.534166
8,19,0.679966
8,20,803.386237
8,21,2.490467
8,22,141.203151
9,1,2.651744
9,2,0.113999
9,3,0.812621
9,4,0.211724
9,5,0.941721
9,6,0.465120
9,7,1.478663
9,8,3.118269
9,9,7.963800
9,10,0.626972
9,11,0.237246
9,12,0.505674
9,13,3.291072
9,14,0.597330
9,15,1.050810
9,16,0.133363
9,17,574.949815
9,18,0.556877
9,19,0.690251
9,20,824.271981
9,21,2.342096
9,22,132.566014
10,1,2.487191
10,2,0.109079
10,3,0.763466
10,4,0.201439
10,5,0.887463
10,6,0.440224
10,7,1.384901
10,8,2.932629
10,9,7.437140
10,10,0.588945
10,11,0.223484
10,12,0.480603
10,13,3.091591
10,14,0.564503
10,15,0.993781
10,16,0.126776
10,17,543.046759
10,18,0.525015
10,19,0.650544
10,20,785.779421
10,21,2.341501
10,22,133.316872
11,1,2.495984
11,2,0.107570
11,3,0.761456
11,4,0.201735
11,5,0.889471
11,6,0.440096
11,7,1.400234
11,8,2.943939
11,9,7.467700
11,10,0.589945
11,11,0.224043
11,12,0.479011
11,13,3.103691
11,14,0.563577
11,15,0.995476
11,16,0.126299
11,17,538.741038
11,18,0.526841
11,19,0.658765
11,20,790.404507
11,21,2.521592
11,22,133.673790
12,1,2.479120
12,2,0.106603
12,3,0.761488
12,4,0.201001
12,5,0.892089
12,6,0.438564
12,7,1.385965
12,8,2.932996
12,9,7.431093
12,10,0.587274
12,11,0.221765
12,12,0.476930
12,13,3.074642
12,14,0.568709
12,15,0.992020
12,16,0.125863
12,17,545.297649
12,18,0.525339
12,19,0.648330
12,20,783.685926
12,21,2.342644
12,22,132.703324
13,1,2.473875
13,2,0.108336
13,3,0.758737
13,4,0.199715
13,5,0.882896
13,6,0.437302
13,7,1.383700
13,8,2.899477
13,9,7.265754
13,10,0.599029
13,11,0.233687
13,12,0.489690
13,13,3.067879
13,14,0.571153
13,15,0.991685
13,16,0.142457
13,17,538.742078
13,18,0.540169
13,19,0.660415
13,20,780.246156
13,21,2.351197
13,22,132.479837
14,1,2.487687
14,2,0.118974
14,3,0.775767
14,4,0.213086
14,5,0.896723
14,6,0.452294
14,7,1.382601
14,8,2.911158
14,9,7.268310
14,10,0.598588
14,11,0.234091
14,12,0.488276
14,13,3.062669
14,14,0.574569
14,15,0.988133
14,16,0.143397
14,17,540.315600
14,18,0.541854
14,19,0.659296
14,20,781.285053
14,21,2.347853
14,22,132.923627
15,1,2.492241
15,2,0.118852
15,3,0.773393
15,4,0.212147
15,5,0.892961
15,6,0.453631
15,7,1.390320
15,8,2.909340
15,9,7.272856
15,10,0.599439
15,11,0.235168
15,12,0.492221
15,13,3.083428
15,14,0.574486
15,15,0.990324
15,16,0.142056
15,17,539.973843
15,18,0.542580
15,19,0.660327
15,20,781.773622
15,21,2.354668
15,22,132.856216
