iteration,time(s)
1,1.412
2,1.885
3,1.428
4,2.352
5,2.287
6,2.331
7,2.137
8,1.283
9,1.771
10,1.654
11,1.164
12,1.166
13,1.316
14,1.853
15,1.525
16,1.653
17,3.286
18,3.644
19,2.042
20,1.309
21,1.762
22,1.32
23,1.179
24,1.179
25,1.359
26,1.673
27,1.321
28,1.465
29,1.481
30,1.37
31,1.379
32,1.184
33,1.346
34,1.778
35,1.143
36,1.093
37,1.135
38,1.126
39,1.079
40,1.389
41,1.165
42,1.088
43,1.487
44,1.042
45,1.268
46,1.431
47,1.205
48,2.334
49,1.106
50,1.955
