iteration,time(s)
1,0.612
2,0.635
3,0.8
4,0.65
5,0.596
6,0.754
7,0.806
8,0.734
9,0.736
10,0.727
11,0.626
12,0.72
13,0.687
14,0.861
15,0.835
16,0.771
17,0.736
18,1.36
19,0.816
20,0.632
21,0.626
22,0.659
23,0.713
24,0.668
25,0.704
26,0.886
27,0.651
28,0.664
29,0.58
30,1.163
31,0.631
32,0.879
33,0.747
34,1.163
35,0.697
36,1.142
37,0.872
38,0.715
39,0.759
40,0.684
41,1.784
42,2.391
43,0.778
44,0.949
45,0.678
46,0.728
47,0.809
48,0.748
49,0.816
50,0.61
