iteration,time(s)
1,0.94104
2,0.44188
3,0.41705
4,0.45751
5,0.37573
6,0.36737
7,0.38871
8,0.52599
9,0.41705
10,0.49226
11,0.92587
12,0.747
13,0.41719
14,0.57537
15,0.48385
16,0.43436
17,0.51726
18,0.48328
19,0.50915
20,0.42662
21,0.50853
22,0.40881
23,0.38398
24,0.4505
25,0.39178
26,0.4667
27,0.63014
28,0.40956
29,0.37606
30,0.43414
31,0.44285
32,0.45125
33,0.38389
34,0.39182
35,0.42579
36,0.40864
37,0.42549
38,0.39283
39,0.40023
40,0.39168
41,0.41636
42,0.41797
43,1.00913
44,0.39252
45,0.38404
46,0.37616
47,0.37603
48,0.43398
49,0.45891
50,0.43888
