iteration,query,time(s)
1,1,5.299
1,2,1.391
1,3,0.501
1,4,0.118
1,5,0.507
1,6,0.274
1,7,0.916
1,8,1.348
1,9,3.141
1,10,0.566
1,11,0.143
1,12,0.357
1,13,3.183
1,14,0.44
1,15,3.141
1,16,4.49
1,17,90.22
1,18,0.289
1,19,0.413
1,20,125.335
1,21,1.556
1,22,22.788
2,1,5.299
2,2,1.391
2,3,0.501
2,4,0.118
2,5,0.507
2,6,0.274
2,7,0.916
2,8,1.348
2,9,3.141
2,10,0.566
2,11,0.143
2,12,0.357
2,13,3.183
2,14,0.44
2,15,3.141
2,16,4.49
2,17,90.22
2,18,0.289
2,19,0.413
2,20,125.335
2,21,1.556
2,22,22.788
