Iteration,Start_Timestamp_Nanoseconds,Measured_Timestamp,Bootup_Time_Seconds,Bootup_Time_Milliseconds,Execution_Time_Seconds
1,1721580035595715421,1721580038013.0,3.166188096,3166.19,3.17
2,1721580039763033433,1721580041013.0,3.291449748,3291.45,3.29
3,1721580044055616394,1721580046012.0,3.499119609,3499.12,3.50
4,1721580048555866804,1721580050013.0,3.047346893,3047.35,3.05
5,1721580052604327536,1721580054013.0,3.324982276,3324.98,3.32
6,1721580056930443769,1721580058013.0,3.210855492,3210.86,3.21
7,1721580061142430901,1721580063013.0,3.478878221,3478.88,3.48
8,1721580065622440301,1721580067013.0,3.334920815,3334.92,3.33
9,1721580069958483701,1721580071013.0,3.170812441,3170.81,3.17
10,1721580074130412234,1721580075013.0,3.090839112,3090.84,3.09
11,1721580078222359269,1721580079013.0,3.3388962,3338.90,3.34
12,1721580082562370487,1721580085013.0,3.434810951,3434.81,3.43
13,1721580086998300943,1721580088014.0,3.283042815,3283.04,3.28
14,1721580091282481846,1721580092012.0,3.038092947,3038.09,3.04
15,1721580095321709777,1721580096012.0,3.439407817,3439.41,3.44
16,1721580099762240876,1721580102013.0,3.467004899,3467.00,3.47
17,1721580104230351634,1721580105012.0,3.112535668,3112.54,3.11
18,1721580108344026678,1721580109012.0,3.161276117,3161.28,3.16
19,1721580112506411508,1721580113013.0,2.978840667,2978.84,2.98
20,1721580116486363510,1721580118012.0,3.098810016,3098.81,3.10
21,1721580120586296184,1721580122012.0,3.065521256,3065.52,3.07
22,1721580124652961702,1721580127013.0,3.492316924,3492.32,3.49
23,1721580129146392410,1721580131012.0,3.19986773,3199.87,3.20
24,1721580133347389447,1721580134013.0,3.353920271,3353.92,3.35
25,1721580137702435114,1721580139013.0,3.258876421,3258.88,3.26
26,1721580141962375938,1721580143015.0,3.254945239,3254.95,3.25
27,1721580146218445062,1721580148013.0,3.510867932,3510.87,3.51
28,1721580150730442195,1721580153012.0,3.130868669,3130.87,3.13
29,1721580154862429600,1721580156012.0,3.146326181,3146.33,3.15
30,1721580159009951535,1721580161013.0,3.891391858,3891.39,3.89
31,1721580163902458886,1721580165013.0,3.218844947,3218.84,3.22
32,1721580168122429509,1721580170013.0,3.566875192,3566.88,3.57
33,1721580172690431227,1721580174013.0,3.230957007,3230.96,3.23
34,1721580176922531889,1721580178012.0,3.104833429,3104.83,3.10
35,1721580181028492581,1721580182012.0,3.106113669,3106.11,3.11
36,1721580185135740892,1721580186012.0,3.056124417,3056.12,3.06
37,1721580189193015114,1721580191013.0,3.300342294,3300.34,3.30
38,1721580193494474681,1721580194013.0,3.029833382,3029.83,3.03
39,1721580197525425964,1721580198013.0,3.25990566,3259.91,3.26
40,1721580201786466965,1721580203013.0,3.133747392,3133.75,3.13
41,1721580205921005352,1721580208012.0,3.107243673,3107.24,3.11
42,1721580210028997492,1721580211013.0,3.068340052,3068.34,3.07
43,1721580214098441441,1721580216013.0,3.558904909,3558.90,3.56
44,1721580218658468671,1721580220013.0,3.420258157,3420.26,3.42
45,1721580223079870470,1721580225013.0,3.288495265,3288.50,3.29
46,1721580227369511068,1721580229013.0,3.24693548,3246.94,3.25
47,1721580231617582277,1721580233012.0,3.233913977,3233.91,3.23
48,1721580235852636301,1721580238013.0,3.231876623,3231.88,3.23
49,1721580240085638875,1721580242012.0,3.855827285,3855.83,3.86
50,1721580244942627790,1721580247013.0,3.454713031,3454.71,3.45
51,1721580249398473703,1721580251013.0,3.608374869,3608.37,3.61
52,1721580254007980258,1721580255012.0,3.090268523,3090.27,3.09
53,1721580258099402779,1721580260012.0,3.154452621,3154.45,3.15
54,1721580262254983096,1721580263012.0,3.064271537,3064.27,3.06
55,1721580266320378198,1721580268021.0,3.421109326,3421.11,3.42
56,1721580270742614648,1721580272012.0,3.076584619,3076.58,3.08
57,1721580274820336272,1721580277012.0,3.174912471,3174.91,3.17
