iteration,time(s)
1,3.17
2,3.29
3,3.50
4,3.05
5,3.32
6,3.21
7,3.48
8,3.33
9,3.17
10,3.09
11,3.34
12,3.43
13,3.28
14,3.04
15,3.44
16,3.47
17,3.11
18,3.16
19,2.98
20,3.10
21,3.07
22,3.49
23,3.20
24,3.35
25,3.26
26,3.25
27,3.51
28,3.13
29,3.15
30,3.89
31,3.22
32,3.57
33,3.23
34,3.10
35,3.11
36,3.06
37,3.30
38,3.03
39,3.26
40,3.13
41,3.11
42,3.07
43,3.56
44,3.42
45,3.29
46,3.25
47,3.23
48,3.23
49,3.86
50,3.45
51,3.61
52,3.09
53,3.15
54,3.06
55,3.42
56,3.08
57,3.17
58,3.26
59,3.19
60,2.92
61,2.86
62,3.09
63,3.06
64,3.45
65,3.11
66,3.52
67,3.03
68,2.99
69,3.01
70,3.46
71,3.49
72,3.13
73,3.35
74,3.35
75,3.11
76,3.09
77,3.28
78,3.45
79,3.29
80,3.09
81,3.17
82,3.06
83,3.22
84,3.00
85,3.66
86,3.12
87,3.36
88,3.33
89,3.41
90,10.24
91,8.40
92,4.87
93,3.17
94,4.64
95,3.25
96,3.18
97,3.34
98,3.18
99,3.39
100,3.34
